,episode,score,Q_sum
0,0.0,0.0,0.0
1,1.0,1.0,1.0
2,2.0,0.0,1.0
3,3.0,0.0,1.9
4,4.0,2.0,3.9
5,5.0,0.0,5.7
6,6.0,1.0,12.298
7,7.0,0.0,21.154
8,8.0,0.0,32.611000000000004
9,9.0,0.0,39.53020000000001
10,10.0,0.0,56.18650000000001
11,11.0,0.0,76.1458
12,12.0,0.0,97.92787000000003
13,13.0,0.0,129.8874289
14,14.0,1.0,150.2205089
15,15.0,0.0,177.14093990000003
16,16.0,1.0,211.1060778000001
17,17.0,0.0,263.5003788
18,18.0,0.0,464.9371998000003
19,19.0,0.0,841.6861997999994
20,20.0,1.0,1219.3622997999996
21,21.0,1.0,1605.6324997999996
22,22.0,0.0,1979.0424997999992
23,23.0,0.0,2328.3956798000004
24,24.0,0.0,2702.6156797999993
25,25.0,1.0,3085.215679800002
26,26.0,0.0,3470.592349800002
27,27.0,0.0,3850.1380098000004
28,28.0,1.0,4231.8380098
29,29.0,1.0,4618.105671799997
30,30.0,0.0,5011.600767500001
31,31.0,0.0,5415.065273629998
32,32.0,0.0,5809.809134269997
33,33.0,0.0,6202.76309561
34,34.0,0.0,6612.998522708006
35,35.0,0.0,6961.575251207005
36,36.0,0.0,7340.655251207005
37,37.0,0.0,7756.3719976069915
38,38.0,0.0,8315.551985807002
39,39.0,0.0,8513.871332807
40,40.0,1.0,9038.101897406998
41,41.0,0.0,9612.790291407
42,42.0,0.0,10176.701221407
43,43.0,1.0,10739.546579407002
44,44.0,0.0,11302.441013407
45,45.0,1.0,11860.368420407
46,46.0,1.0,12444.325234224005
47,47.0,0.0,13013.079516843
48,48.0,0.0,13536.574684980009
49,49.0,0.0,14094.924758698206
50,50.0,0.0,14674.295699903394
51,51.0,1.0,15335.679267903392
52,52.0,1.0,16056.495631151904
53,53.0,1.0,16792.324862463007
54,54.0,0.0,17471.52268682313
55,55.0,0.0,18192.166674579912
56,56.0,0.0,18957.692191363196
57,57.0,0.0,19716.21956708459
58,58.0,0.0,20454.549629131805
59,59.0,0.0,21194.05534581691
60,60.0,0.0,21905.822940879614
61,61.0,1.0,22644.333155655986
62,62.0,1.0,23290.55936599162
63,63.0,1.0,24054.47216488923
64,64.0,0.0,24756.817820098182
65,65.0,0.0,25515.23157118908
66,66.0,0.0,26201.34821606552
67,67.0,1.0,26963.934427818192
68,68.0,0.0,27708.925007529873
69,69.0,1.0,28418.084456118624
70,70.0,1.0,29166.886549622017
71,71.0,0.0,29894.170251359996
72,72.0,0.0,30528.41452694806
73,73.0,0.0,31297.98705710297
74,74.0,0.0,32045.8807526462
75,75.0,0.0,32761.765635923784
76,76.0,1.0,33502.91195247027
77,77.0,0.0,34176.639799865625
78,78.0,1.0,34935.00324704698
79,79.0,1.0,35670.10464843956
80,80.0,1.0,36431.518317836715
81,81.0,0.0,37189.71914118459
82,82.0,0.0,37944.029608027704
83,83.0,0.0,38652.89521929682
84,84.0,0.0,39368.0553303988
85,85.0,1.0,40116.02991626699
86,86.0,1.0,40883.945222555514
87,87.0,0.0,41642.910238090684
88,88.0,0.0,42361.34045622319
89,89.0,1.0,43050.984991283054
90,90.0,0.0,43791.90698844939
91,91.0,0.0,44572.11195351331
92,92.0,0.0,45368.41573310669
93,93.0,1.0,46182.71562443079
94,94.0,0.0,46867.8403113083
95,95.0,0.0,47612.969761616936
96,96.0,0.0,48410.279747607456
97,97.0,0.0,49170.66439680196
98,98.0,0.0,49966.70200389657
99,99.0,0.0,50822.77863334422
100,100.0,1.0,51698.14133967509
101,101.0,0.0,52580.047877129524
102,102.0,0.0,53516.99340185728
103,103.0,0.0,54490.55765884482
104,104.0,0.0,55442.098367380815
105,105.0,0.0,56213.61804225402
106,106.0,0.0,57186.55768835071
107,107.0,0.0,58025.3923503105
108,108.0,0.0,59008.45110467842
109,109.0,0.0,59342.01568416649
110,110.0,0.0,60291.966982651706
111,111.0,0.0,61059.37109646483
112,112.0,0.0,62042.535720158565
113,113.0,0.0,62927.265206988166
114,114.0,0.0,63725.47962450524
115,115.0,2.0,64724.0106431293
116,116.0,0.0,65478.15849611187
117,117.0,0.0,66312.46182032349
118,118.0,0.0,67237.0769242049
119,119.0,0.0,68141.90366922476
120,120.0,0.0,69099.84120505997
121,121.0,0.0,69980.54739783687
122,122.0,0.0,70862.06209848102
123,123.0,0.0,71864.94260013045
124,124.0,0.0,72849.7032316247
125,125.0,1.0,73669.60606197645
126,126.0,0.0,74676.18570006931
127,127.0,1.0,75585.90966555863
128,128.0,0.0,76465.1452009085
129,129.0,0.0,77453.0390334759
130,130.0,0.0,78281.61432960187
131,131.0,1.0,79230.0048837781
132,132.0,0.0,80210.55713650529
133,133.0,1.0,81224.38520848505
134,134.0,2.0,82251.57565796807
135,135.0,0.0,83051.88358923083
136,136.0,1.0,84048.63639995072
137,137.0,0.0,84974.47223252483
138,138.0,1.0,85964.69678116098
139,139.0,0.0,86969.28758081676
140,140.0,2.0,88026.06824995334
141,141.0,0.0,89094.55615582615
142,142.0,0.0,90277.02342526164
143,143.0,0.0,91154.55977893618
144,144.0,0.0,92272.81815030561
145,145.0,0.0,93196.75527037177
146,146.0,0.0,94230.16440448718
147,147.0,2.0,95373.78423837997
148,148.0,0.0,96426.78675551174
149,149.0,0.0,97408.45540435294
150,150.0,1.0,98526.29027760983
151,151.0,0.0,99556.3377177519
152,152.0,0.0,100703.3579911907
153,153.0,0.0,101842.51078095088
154,154.0,1.0,102681.98056360277
155,155.0,0.0,103744.5353537443
156,156.0,0.0,104585.77734186442
157,157.0,0.0,105789.76049226995
158,158.0,1.0,106989.88835527694
159,159.0,0.0,108192.2395765246
160,160.0,1.0,109242.21042452438
161,161.0,1.0,110303.72209591055
162,162.0,1.0,111491.25730695706
163,163.0,0.0,112810.24856055014
164,164.0,0.0,114093.45439620934
165,165.0,0.0,115334.46478315069
166,166.0,0.0,116605.88364367948
167,167.0,0.0,117978.23954685856
168,168.0,1.0,119354.32360502597
169,169.0,0.0,120638.15793285472
170,170.0,0.0,121685.70297894064
171,171.0,0.0,122896.90018539893
172,172.0,2.0,124285.57498393385
173,173.0,0.0,125638.37155252279
174,174.0,1.0,126751.5074474662
175,175.0,1.0,128113.81578875714
176,176.0,0.0,129390.95556813941
177,177.0,0.0,130489.47567652819
178,178.0,1.0,131769.87392545913
179,179.0,1.0,132925.43328081162
180,180.0,0.0,134229.43577189138
181,181.0,2.0,135501.94834793583
182,182.0,0.0,136563.085751614
183,183.0,0.0,137808.41782597336
184,184.0,0.0,138770.4307817151
185,185.0,0.0,139978.07281291182
186,186.0,0.0,141300.52235398328
187,187.0,0.0,142421.31798556546
188,188.0,0.0,143438.5488104802
189,189.0,1.0,144768.7954765183
190,190.0,0.0,145856.41692793503
191,191.0,0.0,147008.07280420625
192,192.0,1.0,148360.45058751246
193,193.0,0.0,149593.98253551574
194,194.0,0.0,150874.5521803577
195,195.0,0.0,151988.40360704064
196,196.0,0.0,153113.4028228606
197,197.0,0.0,154180.20258242454
198,198.0,0.0,155210.7702699312
199,199.0,1.0,156620.24510994987
200,200.0,0.0,156924.00413332335
201,201.0,0.0,158143.56335121024
202,202.0,0.0,159284.92309701475
203,203.0,0.0,160685.67217652293
204,204.0,0.0,161926.65504863564
205,205.0,0.0,163151.3884579843
206,206.0,0.0,164416.9378671547
207,207.0,0.0,165674.89799376728
208,208.0,2.0,166971.84799383234
209,209.0,1.0,168297.78761343876
210,210.0,0.0,169337.92348834273
211,211.0,0.0,170555.10900175554
212,212.0,0.0,171555.22233714274
213,213.0,0.0,172829.29762788286
214,214.0,1.0,174110.71102462817
215,215.0,0.0,175099.6248666181
216,216.0,0.0,176333.8751262191
217,217.0,0.0,176404.15596139614
218,218.0,0.0,177487.84491513425
219,219.0,0.0,178589.38276406965
220,220.0,0.0,179738.19640332603
221,221.0,0.0,180913.3692947898
222,222.0,0.0,182279.12674613736
223,223.0,0.0,183441.3524879401
224,224.0,1.0,184402.2445944304
225,225.0,0.0,185640.7070847857
226,226.0,0.0,186917.16072360546
227,227.0,0.0,188063.89079741048
228,228.0,1.0,189454.62817915695
229,229.0,1.0,190783.56905211502
230,230.0,1.0,192067.3803331633
231,231.0,1.0,193502.70446353842
232,232.0,1.0,194884.30720364855
233,233.0,0.0,196078.25438467495
234,234.0,0.0,197129.33883478295
235,235.0,0.0,198061.0716409539
236,236.0,0.0,199390.65668008453
237,237.0,0.0,200583.7237786497
238,238.0,1.0,201956.27159739795
239,239.0,0.0,203352.82192631395
240,240.0,0.0,204534.2643410346
241,241.0,1.0,205814.38896434323
242,242.0,1.0,207126.38370534335
243,243.0,1.0,208585.4369838573
244,244.0,1.0,209831.67631584482
